"Order","Family","Taxon","Common Name"
"Araneae","Linyphiidae","Tenuiphantes tenuis","Money Spider"
"Coleoptera","Carabidae","Acupalpus dubius",""
" "," ","Agonum fuliginosum",""
" "," ","Oxypselaphus obscurus",""
" "," ","Stenolophus mixtus",""
" ","Staphylinidae","Anotylus rugosus",""
" "," ","Dacrila fallax",""
" "," ","Habrocerus capillaricornis",""
" "," ","Lathrobium brunnipes",""
" "," ","Ochthebius pusillus",""
"Isopoda","Coccinea","Unknown","Scale Insect"
" ","Philosciidae","Philoscia muscorum","Common Striped Woodlouse"
" ","Trichoniscidae","Trichoniscus pusillus Ag.","Common Pygmy Woodlouse"
"Pseudoscorpione","Chthoniidae","Chthonius ischnocheles","Common Chthonid"
